fecha,nombre_comun,nombre_cientifico,codigo_especie,cantidad,es_exotica
1982-11-06 00:00:00,White-winged Dove,Zenaida asiatica,whwdov,1,False
1983-03-03 00:00:00,Verdin,Auriparus flaviceps,verdin,1,False
1983-03-03 00:00:00,Ash-throated Flycatcher,Myiarchus cinerascens,astfly,1,False
1983-04-02 00:00:00,White-winged Dove,Zenaida asiatica,whwdov,1,False
1983-04-02 00:00:00,Mourning Dove,Zenaida macroura,moudov,1,False
1983-04-02 00:00:00,Greater Roadrunner,Geococcyx californianus,greroa,1,False
1983-04-02 00:00:00,Black-chinned Hummingbird,Archilochus alexandri,bkchum,1,False
1983-04-02 00:00:00,Phainopepla,Phainopepla nitens,phaino,1,False
1983-04-02 00:00:00,Gila Woodpecker,Melanerpes uropygialis,gilwoo,1,False
1983-04-02 00:00:00,Ladder-backed Woodpecker,Dryobates scalaris,labwoo,1,False
1983-04-02 00:00:00,Black-tailed Gnatcatcher,Polioptila melanura,bktgna,1,False
1983-04-02 00:00:00,European Starling,Sturnus vulgaris,eursta,1,True
1983-04-02 00:00:00,Turkey Vulture,Cathartes aura,turvul,1,False
1984-12-05 00:00:00,Brewer's Blackbird,Euphagus cyanocephalus,brebla,1,False
1984-12-05 00:00:00,House Sparrow,Passer domesticus,houspa,1,True
1984-12-05 00:00:00,Phainopepla,Phainopepla nitens,phaino,1,False
1984-12-05 00:00:00,European Starling,Sturnus vulgaris,eursta,1,True
1984-12-05 00:00:00,Black-tailed Gnatcatcher,Polioptila melanura,bktgna,1,False
1984-12-06 00:00:00,Northern Cardinal,Cardinalis cardinalis,norcar,1,False
1984-12-06 00:00:00,Canyon Towhee,Melozone fusca,cantow,1,False
1985-10-27 00:00:00,Inca Dove,Columbina inca,incdov,1,False
1985-10-27 00:00:00,Brewer's Blackbird,Euphagus cyanocephalus,brebla,1,False
1985-10-27 00:00:00,Western Kingbird,Tyrannus verticalis,weskin,1,False
1986-11-14 07:45:00,Western Grebe,Aechmophorus occidentalis,wesgre,2,False
1986-11-14 07:45:00,Snow Goose,Anser caerulescens,snogoo,200,False
1986-11-14 07:45:00,American Wigeon,Mareca americana,amewig,4,False
1986-11-14 07:45:00,Northern Pintail,Anas acuta,norpin,2,False
1986-11-14 07:45:00,Mourning Dove,Zenaida macroura,moudov,1,False
1986-11-14 07:45:00,American Coot,Fulica americana,y00475,40,False
1986-11-14 07:45:00,Spotted Sandpiper,Actitis macularius,sposan,1,False
1986-11-14 07:45:00,Bonaparte's Gull,Chroicocephalus philadelphia,bongul,2,False
1986-11-14 07:45:00,Ring-billed Gull,Larus delawarensis,ribgul,10,False
1986-11-14 07:45:00,Caspian Tern,Hydroprogne caspia,caster1,48,False
1986-11-14 07:45:00,Eared Grebe,Podiceps nigricollis,eargre,2,False
1986-11-14 07:45:00,Common Loon,Gavia immer,comloo,1,False
1986-11-14 07:45:00,Pied-billed Grebe,Podilymbus podiceps,pibgre,2,False
1986-11-14 07:45:00,Black-crowned Night Heron,Nycticorax nycticorax,bcnher,1,False
1986-11-14 07:45:00,Brown-headed Cowbird,Molothrus ater,bnhcow,1,False
1986-11-14 07:45:00,White-crowned Sparrow,Zonotrichia leucophrys,whcspa,2,False
1986-11-14 07:45:00,House Finch,Haemorhous mexicanus,houfin,2,False
1986-11-14 07:45:00,House Sparrow,Passer domesticus,houspa,25,True
1986-11-14 07:45:00,American White Pelican,Pelecanus erythrorhynchos,amwpel,50,False
1986-11-14 07:45:00,Black Vulture,Coragyps atratus,blkvul,1,False
1986-11-14 07:45:00,Great Egret,Ardea alba,greegr,2,False
1986-11-14 07:45:00,Western Cattle-Egret,Ardea ibis,categr1,15,False
1986-11-14 07:45:00,Great-tailed Grackle,Quiscalus mexicanus,grtgra,9,False
1986-11-14 07:45:00,Green Heron,Butorides virescens,grnher,1,False
1986-11-14 07:45:00,Snowy Egret,Egretta thula,snoegr,1,False
1986-11-14 07:45:00,Great Blue Heron,Ardea herodias,grbher3,2,False
1986-11-14 07:45:00,Double-crested Cormorant,Nannopterum auritum,doccor,9,False
1987-02-17 00:00:00,Northern Harrier,Circus hudsonius,norhar2,1,False
1987-02-17 00:00:00,Killdeer,Charadrius vociferus,killde,1,False
1987-02-17 00:00:00,White-winged Dove,Zenaida asiatica,whwdov,1,False
1987-02-25 00:00:00,Black-necked Stilt,Himantopus mexicanus,bknsti,10,False
1987-05-26 00:00:00,European Starling,Sturnus vulgaris,eursta,1,True
1987-07-09 00:00:00,Black-tailed Gnatcatcher,Polioptila melanura,bktgna,1,False
1987-07-09 00:00:00,Inca Dove,Columbina inca,incdov,3,False
1987-07-09 00:00:00,Great-tailed Grackle,Quiscalus mexicanus,grtgra,3,False
1987-07-09 00:00:00,Neotropic Cormorant,Nannopterum brasilianum,neocor,70,False
1987-07-09 00:00:00,Snowy Egret,Egretta thula,snoegr,2,False
1987-07-09 00:00:00,Mourning Dove,Zenaida macroura,moudov,4,False
1987-07-09 00:00:00,Great Egret,Ardea alba,greegr,2,False
1987-07-09 00:00:00,Great Blue Heron,Ardea herodias,grbher3,4,False
1987-07-09 00:00:00,American White Pelican,Pelecanus erythrorhynchos,amwpel,49,False
1987-07-09 00:00:00,Black Vulture,Coragyps atratus,blkvul,100,False
1987-07-09 00:00:00,Western Cattle-Egret,Ardea ibis,categr1,7,False
1988-03-06 00:00:00,Black Vulture,Coragyps atratus,blkvul,1,False
1988-05-01 00:00:00,American White Pelican,Pelecanus erythrorhynchos,amwpel,1,False
1988-05-01 00:00:00,American Coot,Fulica americana,y00475,1,False
1988-05-01 00:00:00,Ring-billed Gull,Larus delawarensis,ribgul,1,False
1988-05-01 00:00:00,Great Egret,Ardea alba,greegr,1,False
1988-05-01 00:00:00,Harris's Hawk,Parabuteo unicinctus,hrshaw,1,False
