fecha,almacenamiento_hm3,precipitacion_mm,lluvia_mm,evapotranspiracion_mm,temp_media_c,temp_max_c,temp_min_c,horas_precipitacion,viento_max_km_h,viento_medio_km_h,deficit_presion_vapor_kpa,radiacion_solar_mj_m2,humedad_relativa_pct,cobertura_nubes_pct,humedad_suelo_0_100cm,humedad_suelo_0_7cm,humedad_suelo_28_100cm,humedad_suelo_7_28cm,datos_completos
1940-01-01,,0.0,0.0,3.19,15.5,23.7,7.9,0.0,11.9,6.8,2.33,14.54,42,41,0.053,0.053,0.051,0.062,False
1940-01-02,,0.0,0.0,2.86,15.5,23.3,8.4,0.0,13.0,7.2,2.3,11.71,42,77,0.053,0.053,0.051,0.061,False
1940-01-03,,0.0,0.0,3.68,17.0,25.5,9.5,0.0,18.2,9.7,2.6,14.1,42,63,0.053,0.052,0.051,0.061,False
1940-01-04,,0.0,0.0,2.75,16.1,22.8,9.2,0.0,13.2,6.5,2.0,11.94,52,68,0.053,0.052,0.051,0.061,False
1940-01-05,,0.1,0.1,2.19,15.1,21.0,10.0,1.0,19.8,11.3,1.38,8.83,66,78,0.053,0.052,0.051,0.061,False
1940-01-06,,0.0,0.0,2.19,13.5,19.3,8.8,0.0,10.8,7.3,1.33,12.56,75,67,0.053,0.052,0.051,0.061,False
1940-01-07,,0.0,0.0,2.62,13.2,19.9,5.8,0.0,8.7,5.9,1.66,14.4,59,35,0.053,0.054,0.051,0.061,False
1940-01-08,,0.0,0.0,3.0,15.4,23.2,7.9,0.0,10.4,7.1,2.02,14.05,49,72,0.053,0.055,0.051,0.061,False
1940-01-09,,0.0,0.0,2.99,15.6,22.4,9.4,0.0,15.1,7.2,1.76,13.85,54,50,0.053,0.054,0.051,0.061,False
1940-01-10,,0.0,0.0,3.0,14.2,21.6,6.8,0.0,11.2,7.6,1.94,14.73,53,71,0.053,0.054,0.051,0.061,False
1940-01-11,,0.0,0.0,3.1,15.9,23.9,8.2,0.0,12.3,7.2,2.37,14.05,50,64,0.053,0.053,0.051,0.061,False
1940-01-12,,0.0,0.0,3.2,16.0,23.0,9.7,0.0,16.3,7.6,1.96,15.01,51,19,0.053,0.053,0.051,0.061,False
1940-01-13,,0.0,0.0,3.75,14.5,21.7,8.5,0.0,16.6,10.9,2.24,15.61,47,53,0.053,0.053,0.051,0.061,False
1940-01-14,,0.0,0.0,3.83,13.6,22.7,5.9,0.0,11.9,7.6,2.57,15.61,18,84,0.053,0.052,0.051,0.061,False
1940-01-15,,0.0,0.0,2.88,15.0,22.3,9.6,0.0,8.8,6.7,2.46,7.86,18,100,0.053,0.052,0.051,0.061,False
1940-01-16,,0.0,0.0,2.9,15.5,20.9,11.3,0.0,12.9,7.3,1.96,9.74,29,85,0.053,0.052,0.051,0.061,False
