clave,fecha,almacenamiento_hm3
ARLSO,1947-04-14 00:00:00,0.09
ARLSO,1947-04-15 00:00:00,0.11
ARLSO,1947-04-16 00:00:00,0.11
ARLSO,1947-04-17 00:00:00,0.12
ARLSO,1947-04-18 00:00:00,0.12
ARLSO,1947-04-19 00:00:00,0.13
ARLSO,1947-04-20 00:00:00,0.14
ARLSO,1947-04-21 00:00:00,0.14
ARLSO,1947-04-22 00:00:00,0.15
ARLSO,1947-04-23 00:00:00,0.15
ARLSO,1947-04-24 00:00:00,0.16
ARLSO,1947-04-25 00:00:00,0.16
ARLSO,1947-04-26 00:00:00,0.17
ARLSO,1947-04-27 00:00:00,0.17
ARLSO,1947-04-28 00:00:00,0.16
ARLSO,1947-04-29 00:00:00,0.16
ARLSO,1947-04-30 00:00:00,0.16
ARLSO,1947-05-01 00:00:00,0.16
ARLSO,1947-05-02 00:00:00,0.16
ARLSO,1947-05-03 00:00:00,0.15
ARLSO,1947-05-04 00:00:00,0.16
ARLSO,1947-05-05 00:00:00,0.16
ARLSO,1947-05-06 00:00:00,0.16
ARLSO,1947-05-07 00:00:00,0.17
ARLSO,1947-05-08 00:00:00,0.16
ARLSO,1947-05-09 00:00:00,0.16
ARLSO,1947-05-10 00:00:00,0.17
ARLSO,1947-05-11 00:00:00,0.17
ARLSO,1947-05-12 00:00:00,0.17
ARLSO,1947-05-13 00:00:00,0.19
ARLSO,1947-05-14 00:00:00,0.19
ARLSO,1947-05-15 00:00:00,0.2
ARLSO,1947-05-16 00:00:00,0.2
ARLSO,1947-05-17 00:00:00,0.21
ARLSO,1947-05-18 00:00:00,0.19
ARLSO,1947-05-19 00:00:00,0.2
ARLSO,1947-05-20 00:00:00,0.22
ARLSO,1947-05-21 00:00:00,0.27
ARLSO,1947-05-22 00:00:00,0.29
ARLSO,1947-05-23 00:00:00,0.27
ARLSO,1947-05-24 00:00:00,0.25
ARLSO,1947-05-25 00:00:00,0.24
ARLSO,1947-05-26 00:00:00,0.23
ARLSO,1947-05-27 00:00:00,0.23
ARLSO,1947-05-28 00:00:00,0.23
ARLSO,1947-05-29 00:00:00,0.22
ARLSO,1947-05-30 00:00:00,0.21
ARLSO,1947-05-31 00:00:00,0.2
ARLSO,1947-06-01 00:00:00,0.2
ARLSO,1947-06-02 00:00:00,0.2
ARLSO,1947-06-03 00:00:00,0.19
ARLSO,1947-06-04 00:00:00,0.19
ARLSO,1947-06-05 00:00:00,0.18
ARLSO,1947-06-06 00:00:00,0.18
ARLSO,1947-06-07 00:00:00,0.17
ARLSO,1947-06-08 00:00:00,0.17
ARLSO,1947-06-09 00:00:00,0.16
ARLSO,1947-06-10 00:00:00,0.16
ARLSO,1947-06-11 00:00:00,0.16
ARLSO,1947-06-12 00:00:00,0.15
ARLSO,1947-06-13 00:00:00,0.15
ARLSO,1947-06-14 00:00:00,0.14
ARLSO,1947-06-15 00:00:00,0.14
ARLSO,1947-06-16 00:00:00,0.15
ARLSO,1947-06-17 00:00:00,0.14
ARLSO,1947-06-18 00:00:00,0.15
ARLSO,1947-06-19 00:00:00,0.15
ARLSO,1947-06-20 00:00:00,0.15
ARLSO,1947-06-21 00:00:00,0.15
ARLSO,1947-06-22 00:00:00,0.15
ARLSO,1947-06-23 00:00:00,0.14
ARLSO,1947-06-24 00:00:00,0.14
ARLSO,1947-06-25 00:00:00,0.14
ARLSO,1947-06-26 00:00:00,0.14
ARLSO,1947-06-27 00:00:00,0.13
ARLSO,1947-06-28 00:00:00,0.13
ARLSO,1947-06-29 00:00:00,0.14
ARLSO,1947-06-30 00:00:00,0.14
ARLSO,1947-07-01 00:00:00,0.14
ARLSO,1947-07-02 00:00:00,0.14
ARLSO,1947-07-03 00:00:00,0.14
ARLSO,1947-07-04 00:00:00,0.14
ARLSO,1947-07-05 00:00:00,0.45
ARLSO,1947-07-06 00:00:00,0.55
ARLSO,1947-07-07 00:00:00,0.55
ARLSO,1947-07-08 00:00:00,0.55
ARLSO,1947-07-09 00:00:00,0.57
ARLSO,1947-07-10 00:00:00,0.57
ARLSO,1947-07-11 00:00:00,0.58
ARLSO,1947-07-12 00:00:00,0.59
ARLSO,1947-07-13 00:00:00,0.59
ARLSO,1947-07-14 00:00:00,0.6
ARLSO,1947-07-15 00:00:00,0.64
ARLSO,1947-07-16 00:00:00,0.99
ARLSO,1947-07-17 00:00:00,1.01
ARLSO,1947-07-18 00:00:00,1.01
ARLSO,1947-07-19 00:00:00,1.04
ARLSO,1947-07-20 00:00:00,2.61
ARLSO,1947-07-21 00:00:00,2.65
ARLSO,1947-07-22 00:00:00,2.68
ARLSO,1947-07-23 00:00:00,2.68
ARLSO,1947-07-24 00:00:00,2.68
ARLSO,1947-07-25 00:00:00,2.68
ARLSO,1947-07-26 00:00:00,2.72
ARLSO,1947-07-27 00:00:00,2.72
ARLSO,1947-07-28 00:00:00,2.76
