Clave,Fecha, Almacenamiento(hmÂ³)
LCDSO,1980/01/01,272.80
PECSO,1980/01/01,1760.75
AOBSO,1980/01/01,1547.8
AGZCH,1980/01/01,46.20
ARCSO,1980/01/01,396.86
PMOSO,1980/01/01,-
ARLSO,1980/01/01,96.65
CHTSO,1980/01/01,30.16
IRASO,1980/01/01,21.53
ARLSO,1980/01/02,96.45
PMOSO,1980/01/02,-
ARCSO,1980/01/02,394.4
AGZCH,1980/01/02,46.20
AOBSO,1980/01/02,1544.5
PECSO,1980/01/02,1766.0
LCDSO,1980/01/02,272.80
IRASO,1980/01/02,21.53
CHTSO,1980/01/02,30.25
LCDSO,1980/01/03,272.80
PECSO,1980/01/03,1766.0
AOBSO,1980/01/03,1541.2
AGZCH,1980/01/03,46.15
ARCSO,1980/01/03,391.63
PMOSO,1980/01/03,-
ARLSO,1980/01/03,96.06
CHTSO,1980/01/03,30.39
IRASO,1980/01/03,21.50
ARLSO,1980/01/04,95.86
PMOSO,1980/01/04,-
ARCSO,1980/01/04,388.56
AGZCH,1980/01/04,46.15
AOBSO,1980/01/04,1536.8
PECSO,1980/01/04,1763.75
LCDSO,1980/01/04,272.80
IRASO,1980/01/04,21.43
CHTSO,1980/01/04,30.39
LCDSO,1980/01/05,270.20
PECSO,1980/01/05,1760.0
AOBSO,1980/01/05,1533.5
AGZCH,1980/01/05,46.15
ARCSO,1980/01/05,385.49
PMOSO,1980/01/05,-
ARLSO,1980/01/05,95.46
CHTSO,1980/01/05,30.39
IRASO,1980/01/05,21.32
ARLSO,1980/01/06,95.07
PMOSO,1980/01/06,-
ARCSO,1980/01/06,382.72
AGZCH,1980/01/06,46.11
AOBSO,1980/01/06,1530.2
PECSO,1980/01/06,1756.5
LCDSO,1980/01/06,270.20
IRASO,1980/01/06,21.14
CHTSO,1980/01/06,30.43
LCDSO,1980/01/07,270.00
PECSO,1980/01/07,1755.8
AOBSO,1980/01/07,1525.8
AGZCH,1980/01/07,46.11
ARCSO,1980/01/07,379.35
PMOSO,1980/01/07,-
ARLSO,1980/01/07,94.67
CHTSO,1980/01/07,30.43
IRASO,1980/01/07,20.89
ARLSO,1980/01/08,94.08
PMOSO,1980/01/08,-
ARCSO,1980/01/08,375.66
AGZCH,1980/01/08,46.11
AOBSO,1980/01/08,1521.4
PECSO,1980/01/08,1753.7
LCDSO,1980/01/08,269.80
IRASO,1980/01/08,20.75
CHTSO,1980/01/08,30.43
