Clave,Fecha, Almacenamiento(hmÂ³)
LCDSO,2020-01-01,738.54
PECSO,2020-01-01,2283.69
AOBSO,2020-01-01,1683.92
AGZCH,2020-01-01,79.1
ARCSO,2020-01-01,501.46
PMOSO,2020-01-01,79.58
ARLSO,2020-01-01,18.42
CHTSO,2020-01-01,13.17
IRASO,2020-01-01,1.35
IRASO,2020-01-02,1.35
CHTSO,2020-01-02,13.17
ARLSO,2020-01-02,18.52
PMOSO,2020-01-02,78.4
ARCSO,2020-01-02,500.61
AGZCH,2020-01-02,79.1
AOBSO,2020-01-02,1691.41
PECSO,2020-01-02,2280.23
LCDSO,2020-01-02,738.15
LCDSO,2020-01-03,737.37
PECSO,2020-01-03,2276.77
AOBSO,2020-01-03,1697.87
AGZCH,2020-01-03,79.1
ARCSO,2020-01-03,500.19
PMOSO,2020-01-03,77.95
ARLSO,2020-01-03,18.72
CHTSO,2020-01-03,13.17
IRASO,2020-01-03,1.34
IRASO,2020-01-04,1.34
CHTSO,2020-01-04,13.23
ARLSO,2020-01-04,18.93
PMOSO,2020-01-04,77.06
ARCSO,2020-01-04,499.76
AGZCH,2020-01-04,79.1
AOBSO,2020-01-04,1706.92
PECSO,2020-01-04,2271.58
LCDSO,2020-01-04,736.59
LCDSO,2020-01-05,735.82
PECSO,2020-01-05,2265.52
AOBSO,2020-01-05,1717.26
AGZCH,2020-01-05,79.04
ARCSO,2020-01-05,499.33
PMOSO,2020-01-05,76.17
ARLSO,2020-01-05,19.13
CHTSO,2020-01-05,13.23
IRASO,2020-01-05,1.33
IRASO,2020-01-06,1.33
CHTSO,2020-01-06,13.23
ARLSO,2020-01-06,19.33
PMOSO,2020-01-06,75.29
ARCSO,2020-01-06,497.63
AGZCH,2020-01-06,79.04
AOBSO,2020-01-06,1723.72
PECSO,2020-01-06,2262.93
LCDSO,2020-01-06,735.04
LCDSO,2020-01-07,734.26
PECSO,2020-01-07,2260.33
AOBSO,2020-01-07,1730.18
